Taxon,Species,Trait,Value,Source
Butterflies,Aglais io,EggLayingType,5_Lb,Middleton-Welling_et_al_2020
Butterflies,Aglais io,WingIndex,0.061,Middleton-Welling_et_al_2020
Butterflies,Aglais io,VoltinismMax,3,Middleton-Welling_et_al_2020
Butterflies,Aglais io,FlyingPeriodBreadth,9,Middleton-Welling_et_al_2020
Butterflies,Aglais io,FlyingPeriodPosition,6.5,Middleton-Welling_et_al_2020
Butterflies,Aglais io,OverwinteringStage,A,Middleton-Welling_et_al_2020
Butterflies,Aglais io,OverwinteringLoc,Ts,Middleton-Welling_et_al_2020
Butterflies,Aglais io,OverwinteringLoc,Sb,Middleton-Welling_et_al_2020
Butterflies,Aglais io,OverwinteringLoc,Tr,Middleton-Welling_et_al_2020
Butterflies,Aglais io,OverwinteringLoc,Li,Middleton-Welling_et_al_2020
Butterflies,Aglais io,BaskingSite,Bg,Middleton-Welling_et_al_2020
Butterflies,Aglais io,BaskingSite,Sh,Middleton-Welling_et_al_2020
Butterflies,Aglais io,BaskingSite,Gr,Middleton-Welling_et_al_2020
Butterflies,Aglais io,BaskingSite,Th,Middleton-Welling_et_al_2020
Butterflies,Aglais io,BaskingSite,Sb,Middleton-Welling_et_al_2020
Butterflies,Aglais io,BaskingSite,Ms,Middleton-Welling_et_al_2020
Butterflies,Aglais io,PupalLoc,Gl,Middleton-Welling_et_al_2020
Butterflies,Aglais io,MateLocatingLoc,Th,Middleton-Welling_et_al_2020
Butterflies,Aglais io,MateLocatingLoc,Hs,Middleton-Welling_et_al_2020
Butterflies,Aglais io,MateLocatingLoc,Ps,Middleton-Welling_et_al_2020
Butterflies,Aglais io,HostPlantType,Hp,Middleton-Welling_et_al_2020
Butterflies,Aglais io,EggLayingLoc,Th,Middleton-Welling_et_al_2020
Butterflies,Aglais io,WingSpan,53.5,Middleton-Welling_et_al_2020
Butterflies,Aglais io,HostPlantSpec,0.18257,Clarke_2022
Butterflies,Aglais urticae,EggLayingType,5_Lb,Middleton-Welling_et_al_2020
Butterflies,Aglais urticae,WingIndex,0.021,Middleton-Welling_et_al_2020
Butterflies,Aglais urticae,VoltinismMax,3,Middleton-Welling_et_al_2020
Butterflies,Aglais urticae,FlyingPeriodBreadth,10,Middleton-Welling_et_al_2020
Butterflies,Aglais urticae,FlyingPeriodPosition,7,Middleton-Welling_et_al_2020
Butterflies,Aglais urticae,OverwinteringStage,A,Middleton-Welling_et_al_2020
Butterflies,Aglais urticae,OverwinteringLoc,Ts,Middleton-Welling_et_al_2020
Butterflies,Aglais urticae,OverwinteringLoc,Sb,Middleton-Welling_et_al_2020
Butterflies,Aglais urticae,OverwinteringLoc,Tr,Middleton-Welling_et_al_2020
Butterflies,Aglais urticae,OverwinteringLoc,Li,Middleton-Welling_et_al_2020
Butterflies,Aglais urticae,BaskingSite,Bg,Middleton-Welling_et_al_2020
Butterflies,Aglais urticae,BaskingSite,Sh,Middleton-Welling_et_al_2020
Butterflies,Aglais urticae,BaskingSite,Th,Middleton-Welling_et_al_2020
Butterflies,Aglais urticae,BaskingSite,Sb,Middleton-Welling_et_al_2020
Butterflies,Aglais urticae,PupalLoc,Gl,Middleton-Welling_et_al_2020
Butterflies,Aglais urticae,MateLocatingLoc,Be,Middleton-Welling_et_al_2020
Butterflies,Aglais urticae,MateLocatingLoc,Gr,Middleton-Welling_et_al_2020
