Taxon,Species,Trait,Value,Source
Trees,Abies alba,LA,280.402,WOODIV_v1.1
Trees,Abies alba,SeedMass,53.185,WOODIV_v1.1
Trees,Abies alba,SLA,6.82,WOODIV_v1.1
Trees,Abies alba,StemSpecDens,0.492,WOODIV_v1.1
Trees,Abies borisii-regis,SeedMass,56.01,WOODIV_v1.1
Trees,Abies cephalonica,SeedMass,67.913,WOODIV_v1.1
Trees,Abies cephalonica,SLA,6.531,WOODIV_v1.1
Trees,Abies nebrodensis,SLA,3.421,WOODIV_v1.1
Trees,Abies pinsapo,SeedMass,49.304,WOODIV_v1.1
Trees,Abies pinsapo,SLA,3.421,WOODIV_v1.1
Trees,Abies pinsapo,StemSpecDens,0.442,WOODIV_v1.1
Trees,Acer campestre,LA,3145.868,WOODIV_v1.1
Trees,Acer campestre,SeedMass,66.122,WOODIV_v1.1
Trees,Acer campestre,SLA,16.034,WOODIV_v1.1
Trees,Acer campestre,StemSpecDens,0.573,WOODIV_v1.1
Trees,Acer cappadocicum,SeedMass,89.862,WOODIV_v1.1
Trees,Acer cappadocicum,StemSpecDens,0.55,WOODIV_v1.1
Trees,Acer heldreichii,SeedMass,171.034,WOODIV_v1.1
Trees,Acer hyrcanum,SeedMass,35,WOODIV_v1.1
Trees,Acer monspessulanum,LA,920.188,WOODIV_v1.1
Trees,Acer monspessulanum,SeedMass,34.327,WOODIV_v1.1
Trees,Acer monspessulanum,SLA,12.409,WOODIV_v1.1
Trees,Acer monspessulanum,StemSpecDens,0.803,WOODIV_v1.1
Trees,Acer obtusifolium,SeedMass,41.85,WOODIV_v1.1
Trees,Acer obtusifolium,StemSpecDens,0.7,WOODIV_v1.1
Trees,Acer opalus,LA,6756.848,WOODIV_v1.1
Trees,Acer opalus,SeedMass,76.809,WOODIV_v1.1
Trees,Acer opalus,SLA,16.848,WOODIV_v1.1
Trees,Acer opalus,StemSpecDens,0.69,WOODIV_v1.1
Trees,Acer platanoides,LA,8127.194,WOODIV_v1.1
Trees,Acer platanoides,SeedMass,136.003,WOODIV_v1.1
Trees,Acer platanoides,SLA,17.843,WOODIV_v1.1
Trees,Acer platanoides,StemSpecDens,0.541,WOODIV_v1.1
Trees,Acer pseudoplatanus,LA,7856.46,WOODIV_v1.1
Trees,Acer pseudoplatanus,SeedMass,89.993,WOODIV_v1.1
Trees,Acer pseudoplatanus,SLA,14.129,WOODIV_v1.1
Trees,Acer pseudoplatanus,StemSpecDens,0.548,WOODIV_v1.1
Trees,Acer sempervirens,SeedMass,8,WOODIV_v1.1
Trees,Acer tataricum,LA,1575,WOODIV_v1.1
Trees,Acer tataricum,SeedMass,33.969,WOODIV_v1.1
Trees,Acer tataricum,SLA,21.148,WOODIV_v1.1
Trees,Aesculus hippocastanum,LA,6472.678,WOODIV_v1.1
Trees,Aesculus hippocastanum,SeedMass,10886.248,WOODIV_v1.1
Trees,Aesculus hippocastanum,SLA,14.661,WOODIV_v1.1
Trees,Aesculus hippocastanum,StemSpecDens,0.486,WOODIV_v1.1
Trees,Alnus cordata,LA,5240.638,WOODIV_v1.1
Trees,Alnus cordata,SeedMass,3.307,WOODIV_v1.1
Trees,Alnus cordata,SLA,22.698,WOODIV_v1.1
Trees,Alnus cordata,StemSpecDens,0.391,WOODIV_v1.1
Trees,Alnus glutinosa,LA,3531.688,WOODIV_v1.1
Trees,Alnus glutinosa,SeedMass,2.136,WOODIV_v1.1
Trees,Alnus glutinosa,SLA,15.544,WOODIV_v1.1
Trees,Alnus glutinosa,StemSpecDens,0.495,WOODIV_v1.1
Trees,Alnus incana,LA,1687.32,WOODIV_v1.1
Trees,Alnus incana,SeedMass,0.838,WOODIV_v1.1
Trees,Alnus incana,SLA,18.389,WOODIV_v1.1
Trees,Alnus incana,StemSpecDens,0.442,WOODIV_v1.1
Trees,Alnus orientalis,SeedMass,2.95,WOODIV_v1.1
Trees,Alnus orientalis,StemSpecDens,0.36,WOODIV_v1.1
Trees,Alnus viridis,LA,4471.35,WOODIV_v1.1
