"","Family","Species","Trait","Value","Source","Trait_original"
"1","Scincidae","Ablepharus budaki","Active_period","Diurnal","RepT","Active time"
"2","Scincidae","Ablepharus budaki","BodyMass_max_g","2.0124632366227755","RepT","Maximum body mass (g)"
"3","Scincidae","Ablepharus budaki","Brood_per_year","1","AMN","litters_or_clutches_per_y"
"4","Scincidae","Ablepharus budaki","Clutch_mean","3.5","RepT","Mean number of offspring per litter or number of eggs per clutch"
"5","Scincidae","Ablepharus budaki","Diet","Carnivorous","RepT","Diet"
"6","Scincidae","Ablepharus budaki","Limbs","4 well developed limbs","SqB","Limbs"
"7","Scincidae","Ablepharus budaki","SVL_mm_max","48","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"8","Scincidae","Ablepharus budaki","Substrate","Terrestrial","RepT","Microhabitat"
"9","Scincidae","Ablepharus kitaibelii","Active_period","Diurnal","RepT","Active time"
"10","Scincidae","Ablepharus kitaibelii","Activity_season_m","11","SqB","Length_Activity_Season"
"11","Scincidae","Ablepharus kitaibelii","BodyMass_max_g","4.7863009229999998","RepT","Maximum body mass (g)"
"12","Scincidae","Ablepharus kitaibelii","BodyTemp_mean","27","RepT","Mean Tb"
"13","Scincidae","Ablepharus kitaibelii","Brood_per_year","1","AMN","litters_or_clutches_per_y"
"14","Scincidae","Ablepharus kitaibelii","Clutch_mean","2.8","RepT","Mean number of offspring per litter or number of eggs per clutch"
"15","Scincidae","Ablepharus kitaibelii","Diet","Carnivorous","RepT","Diet"
"16","Scincidae","Ablepharus kitaibelii","First_breeding_m","6","SqB","first_breeding_months"
"17","Scincidae","Ablepharus kitaibelii","Limbs","4 well developed limbs","SqB","Limbs"
"18","Scincidae","Ablepharus kitaibelii","Longevity_y","4","RepT","Maximum Longevity (years)"
"19","Scincidae","Ablepharus kitaibelii","SVL_mm_max","58","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"20","Scincidae","Ablepharus kitaibelii","Substrate","Terrestrial","RepT","Microhabitat"
"21","Lacertidae","Acanthodactylus erythrurus","Active_period","Diurnal","RepT","Active time"
"22","Lacertidae","Acanthodactylus erythrurus","Activity_season_m","9.5","SqB","Length_Activity_Season"
"23","Lacertidae","Acanthodactylus erythrurus","BodyMass_max_g","13.80384265","RepT","Maximum body mass (g)"
"24","Lacertidae","Acanthodactylus erythrurus","BodyTemp_mean","34.799999999999997","RepT","Mean Tb"
"25","Lacertidae","Acanthodactylus erythrurus","Brood_per_year","1.5","RepT","Number of litters or clutches produced per year"
"26","Lacertidae","Acanthodactylus erythrurus","Clutch_mean","3.7","RepT","Mean number of offspring per litter or number of eggs per clutch"
"27","Lacertidae","Acanthodactylus erythrurus","Diet","Carnivorous","RepT","Diet"
"28","Lacertidae","Acanthodactylus erythrurus","First_breeding_m","14","SqB","first_breeding_months"
"29","Lacertidae","Acanthodactylus erythrurus","Limbs","4 well developed limbs","SqB","Limbs"
"30","Lacertidae","Acanthodactylus erythrurus","Longevity_y","2.1","RepT","Maximum Longevity (years)"
"31","Lacertidae","Acanthodactylus erythrurus","SVL_mm_max","84","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"32","Lacertidae","Acanthodactylus erythrurus","Substrate","Terrestrial","RepT","Microhabitat"
"33","Lacertidae","Algyroides fitzingeri","Active_period","Diurnal","RepT","Active time"
"34","Lacertidae","Algyroides fitzingeri","Activity_season_m","6","SqB","Length_Activity_Season"
"35","Lacertidae","Algyroides fitzingeri","BodyMass_max_g","2.1877616240000002","RepT","Maximum body mass (g)"
"36","Lacertidae","Algyroides fitzingeri","Brood_per_year","1","SqB","Yearly_broods"
"37","Lacertidae","Algyroides fitzingeri","Clutch_mean","2.5","RepT","Mean number of offspring per litter or number of eggs per clutch"
"38","Lacertidae","Algyroides fitzingeri","Diet","Carnivorous","RepT","Diet"
"39","Lacertidae","Algyroides fitzingeri","Limbs","4 well developed limbs","SqB","Limbs"
"40","Lacertidae","Algyroides fitzingeri","SVL_mm_max","45","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"41","Lacertidae","Algyroides fitzingeri","Substrate","Saxicolous/Terrestrial","RepT","Microhabitat"
"42","Lacertidae","Algyroides marchi","BodyMass_max_g","2.17","AMN","adult_body_mass_g"
"43","Lacertidae","Algyroides marchi","Brood_per_year","1.7","AMN","litters_or_clutches_per_y"
"44","Lacertidae","Algyroides marchi","Clutch_mean","2.4","AMN","litter_or_clutch_size_n"
"45","Lacertidae","Algyroides marchi","SVL_mm_max","45.05","AMN","adult_svl_mm"
"46","Lacertidae","Algyroides moreoticus","Active_period","Diurnal","RepT","Active time"
"47","Lacertidae","Algyroides moreoticus","BodyMass_max_g","3.0199517199999999","RepT","Maximum body mass (g)"
"48","Lacertidae","Algyroides moreoticus","BodyTemp_mean","28.6","RepT","Mean Tb"
"49","Lacertidae","Algyroides moreoticus","Brood_per_year","4.5","RepT","Number of litters or clutches produced per year"
"50","Lacertidae","Algyroides moreoticus","Clutch_mean","3.3","RepT","Mean number of offspring per litter or number of eggs per clutch"
"51","Lacertidae","Algyroides moreoticus","Diet","Carnivorous","RepT","Diet"
"52","Lacertidae","Algyroides moreoticus","First_breeding_m","12","SqB","first_breeding_months"
"53","Lacertidae","Algyroides moreoticus","Limbs","4 well developed limbs","SqB","Limbs"
"54","Lacertidae","Algyroides moreoticus","Longevity_y","9.1999999999999993","RepT","Maximum Longevity (years)"
"55","Lacertidae","Algyroides moreoticus","SVL_mm_max","50.3","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"56","Lacertidae","Algyroides moreoticus","Substrate","Saxicolous/Terrestrial","RepT","Microhabitat"
"57","Lacertidae","Algyroides nigropunctatus","Active_period","Diurnal","RepT","Active time"
"58","Lacertidae","Algyroides nigropunctatus","Activity_season_m","11","SqB","Length_Activity_Season"
"59","Lacertidae","Algyroides nigropunctatus","BodyMass_max_g","7.9432823470000002","RepT","Maximum body mass (g)"
"60","Lacertidae","Algyroides nigropunctatus","BodyTemp_mean","32.299999999999997","RepT","Mean Tb"
"61","Lacertidae","Algyroides nigropunctatus","Brood_per_year","1.5","RepT","Number of litters or clutches produced per year"
"62","Lacertidae","Algyroides nigropunctatus","Clutch_mean","3.5","RepT","Mean number of offspring per litter or number of eggs per clutch"
"63","Lacertidae","Algyroides nigropunctatus","Diet","Carnivorous","RepT","Diet"
"64","Lacertidae","Algyroides nigropunctatus","Limbs","4 well developed limbs","SqB","Limbs"
"65","Lacertidae","Algyroides nigropunctatus","Longevity_y","2.2999999999999998","RepT","Maximum Longevity (years)"
"66","Lacertidae","Algyroides nigropunctatus","SVL_mm_max","70","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"67","Lacertidae","Algyroides nigropunctatus","Substrate","Arboreal/Saxicolous/Terrestrial","RepT","Microhabitat"
"68","Anguidae","Anguis cephallonica","Active_period","Diurnal","RepT","Active time"
"69","Anguidae","Anguis cephallonica","Activity_season_m","12","SqB","Length_Activity_Season"
"70","Anguidae","Anguis cephallonica","BodyMass_max_g","75.857757500000005","RepT","Maximum body mass (g)"
"71","Anguidae","Anguis cephallonica","BodyTemp_mean","29","RepT","Mean Tb"
"72","Anguidae","Anguis cephallonica","Brood_per_year","0.7","AMN","litters_or_clutches_per_y"
"73","Anguidae","Anguis cephallonica","Clutch_mean","10.5","RepT","Mean number of offspring per litter or number of eggs per clutch"
"74","Anguidae","Anguis cephallonica","Diet","Carnivorous","RepT","Diet"
"75","Anguidae","Anguis cephallonica","First_breeding_m","54.7866666666667","AMN","female_maturity_m"
"76","Anguidae","Anguis cephallonica","Limbs","limbless","SqB","Limbs"
"77","Anguidae","Anguis cephallonica","Longevity_y","54","AMN","maximum_longevity_y"
"78","Anguidae","Anguis cephallonica","SVL_mm_max","286","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
"79","Anguidae","Anguis cephallonica","Substrate","Terrestrial","RepT","Microhabitat"
"80","Anguidae","Anguis fragilis","Active_period","Diurnal","RepT","Active time"
"81","Anguidae","Anguis fragilis","Activity_season_m","5.5","SqB","Length_Activity_Season"
"82","Anguidae","Anguis fragilis","BodyMass_max_g","79.432823470000002","RepT","Maximum body mass (g)"
"83","Anguidae","Anguis fragilis","BodyTemp_mean","24.25","RepT","Mean Tb"
"84","Anguidae","Anguis fragilis","Brood_per_year","0.75","RepT","Number of litters or clutches produced per year"
"85","Anguidae","Anguis fragilis","Clutch_mean","9.48","RepT","Mean number of offspring per litter or number of eggs per clutch"
"86","Anguidae","Anguis fragilis","Diet","Carnivorous","RepT","Diet"
"87","Anguidae","Anguis fragilis","First_breeding_m","54.7866666666667","AMN","female_maturity_m"
"88","Anguidae","Anguis fragilis","Limbs","limbless","SqB","Limbs"
"89","Anguidae","Anguis fragilis","Longevity_y","54","RepT","Maximum Longevity (years)"
"90","Anguidae","Anguis fragilis","SVL_mm_max","291","RepT","Maximum length (SVL, mm)/straight carapace length for turtles (SCL, mm)"
